date,VaR_95,VaR_99
2013-02-11,-3.3963293438185724,-5.968565379616554
2013-02-12,-3.284142041933947,-5.771412165579802
2013-02-13,-3.5960561364763586,-6.319556788093693
2013-02-14,-3.402627394458512,-5.979633307135725
2013-02-15,-3.229437662995856,-5.67527700635634
2013-02-19,-3.2347927428023766,-5.684687796860639
2013-02-20,-3.0812656354330845,-5.414885759097491
2013-02-21,-3.413188183453642,-5.998192390545138
2013-02-22,-3.2725771169879403,-5.751088456167984
2013-02-25,-3.180905648073689,-5.589988898300894
2013-02-26,-3.2909998840361028,-5.783463846911679
2013-02-27,-3.2487282488855307,-5.709177465186454
2013-02-28,-3.1773013123130913,-5.583654791251949
2013-03-01,-3.0789434834393457,-5.410804907509506
2013-03-04,-3.430681410281404,-6.028934246664595
2013-03-05,-3.6798815310276582,-6.466867987098047
2013-03-06,-3.8656188237502995,-6.793274840740119
2013-03-07,-3.7523739199535706,-6.594263041884587
2013-03-08,-3.606599417350585,-6.3380851034727685
2013-03-11,-3.40840058863969,-5.989778874138023
2013-03-12,-3.3534851907035508,-5.893272879062471
2013-03-13,-3.5365401150045437,-6.214965852018629
2013-03-14,-3.345619962926975,-5.8794508608016365
2013-03-15,-3.2311957514513043,-5.678366596566014
2013-03-18,-3.4966450480690128,-6.144855950644585
2013-03-19,-3.7449168963537898,-6.581158384359649
2013-03-20,-3.537140093640196,-6.216020229068306
2013-03-21,-3.3720018217694667,-5.925813222456525
2013-03-22,-3.2003342569354922,-5.624131912857984
2013-03-25,-3.3136513842953725,-5.82327063434527
2013-03-26,-3.1541809746328218,-5.543024088786461
2013-03-27,-3.0389567922560734,-5.3405339895620845
2013-03-28,-3.2314062848540615,-5.6787365790535
2013-04-01,-3.41854977194687,-6.007614619139863
2013-04-02,-3.9172991009127878,-6.884095571551287
2013-04-03,-3.681822685175093,-6.4702792892033525
2013-04-04,-3.48421782584023,-6.1230168764998725
2013-04-05,-3.379887505816844,-5.939671189701496
2013-04-08,-3.3012762159448634,-5.801523037482142
2013-04-09,-3.1656448418256526,-5.5631702035818895
2013-04-10,-3.0201492468442455,-5.307482405614577
2013-04-11,-3.1730229973713877,-5.57613626172812
2013-04-12,-3.0385265416572484,-5.339777885377612
2013-04-15,-3.0099548738901905,-5.289567246240763
2013-04-16,-3.322420698127626,-5.838681455159052
2013-04-17,-3.2991804342567135,-5.797839999484107
2013-04-18,-4.9995871217145185,-8.786062712484718
2013-04-19,-5.017608582854819,-8.817732865218249
2013-04-22,-4.673490971802074,-8.212995146367774
2013-04-23,-4.553646817560102,-8.002386104208796
2013-04-24,-4.4110823983024385,-7.751849430344967
2013-04-25,-4.123644958770895,-7.246719044943438
2013-04-26,-3.8870765224143042,-6.830983691798782
2013-04-29,-3.907588386941378,-6.867030373994223
2013-04-30,-4.181984346796589,-7.349242215221936
2013-05-01,-4.352741516315545,-7.649323634642314
2013-05-02,-4.111862165270101,-7.226012462558545
2013-05-03,-3.9550539402206457,-6.950444327515132
2013-05-06,-3.7643796637040072,-6.6153614275979225
2013-05-07,-3.8624870998465983,-6.787771281756898
2013-05-08,-3.650889857289853,-6.415919247252326
2013-05-09,-3.5153146879671353,-6.177665185281576
2013-05-10,-3.5044009772876015,-6.158485892247591
2013-05-13,-3.375658540513284,-5.93223938514215
2013-05-14,-3.2096302268843386,-5.6404682568311095
2013-05-15,-3.500403739086291,-6.151461315085825
2013-05-16,-4.086831910358792,-7.182025352421973
2013-05-17,-3.9212974762994377,-6.891122147154416
2013-05-20,-3.6944251471913545,-6.492426322330481
2013-05-21,-3.766367939708184,-6.618855539659006
2013-05-22,-3.5922710833171476,-6.312905095940459
2013-05-23,-3.3995291285088993,-5.974188545744324
2013-05-24,-3.22481385696193,-5.667151325416008
2013-05-28,-3.0966511048702916,-5.441923531626587
2013-05-29,-3.0258312407037793,-5.317467701033271
